ID,Line
Asher_2a,"정말로 너구나. 자, 이쪽으로."
Asher_2b,"바빠서 내 소개를 할 기회가 없었네, 난 애셔다."
Asher_2c,하지만 너는 그랜트를 위해 와줬지. 좋아.
Asher_2d,"사실 널 올려줄 수도 있었는데, 그러니까, 말하자면 우린 여기에 갇힌 거지."
Asher_2e,우리 스스로를 벽에 가둬버린 꼴이네.
Asher_2f,"각별히 조심하라고, 그들과 여기서 마주칠 일이 없게..."
Asher_2g,나는 여기서 이만. 그랜트는 내가 필요해.
Asher_4a,"""모든 것이 변화하는 것처럼 보인다면, 그것은 아무것도 변화하지 않은 것이다."""
Asher_4b,"그게 캐머라타의 신조고, 우리의 임무지."
Asher_4c,우리가 한 모든 것 -- 우리가 지금 하고 있는 것 -- 전부 다 클라우드 뱅크를 위한 거야.
Asher_5a,클라우드 뱅크에게:
Asher_5b,이 사건은 저희가 그랬습니다.
Asher_5c,우리 캐머라타는 이 도시와 그녀의 시민들에게 피해를 준 용서할 수 없는 범죄들에 대한 책임이 있습니다.
Asher_5d,이건 공식적인 자백서죠.
Asher_5e,여기에 쓰인 것이 모두 사실이라는 것을 여기서 엄숙히 맹세합니다.
Asher_5f,제게 클라우드 뱅크에서 일어나는 모든 악랄한 사건에 책임이 있다는 것을 알고 있습니다.
Asher_5g,"그리고 제 공범들의 이름은 시빌 라이즈, 로이스 브래킷 그리고 그랜트 켄드렐입니다. 이것은 저희만의 잘못입니다."
Asher_5g2,이것은 저희만의 잘못입니다.
Asher_5h,아마 우리가 저지른 최악의 죄는 결국 여러분이 보상을 받지 못할 것이란 겁니다.
Asher_5i,"이 시간부로, 우리 모두는 같은 이념을 공유합니다."
Asher_6a,그 '프로세스'... 그것들.
Asher_6b,그들은 더 이상 우리에게 대답해주지 않아.
Asher_6c,그들은 아무에게도 대답하지 않지.
Asher_6d,우린 트랜지스터 없이도 그들을 막을 수 있을 거라 생각했어.
Asher_6eALT,하지만 보다시피 계획대로 잘 안 되고 있지.
Asher_6fALT,그래도 네가 바로 그걸 넘겨줄 거라고 보이진 않는군. 아냐? 우리가 모든 것을 끝낸 다음에 말이야.
Asher_7a,너도 깨달았겠지만 분명 사사롭게 한건 절대 아냐.
Asher_7b,"너는 가치 있고, 신중하게 고른 거라고. 굉장히 특별하지."
Asher_7c,하지만 많고 많은 것들 중 하나지.
Asher_7eALT,"그건 우리가 평생토록 원했고, 그랜트가 평생토록 얻고자 노력했던 것이야"
Asher_7f,나머지는 부수적인 것에 지나지 않아.
Asher_7g,"고작 4명의 사람들이, 4명의 목소리가 이 도시에서 무엇을 이루길 바랄 수 있을까?"
Asher_7h,"그래, 우리는 우리의 답을 찾았지."
Asher_7i,"네가 그걸 가지고 있잖아, 거기 네 손바닥 안에 꽉 쥐고 있는 거."
Asher_8a,그랜트와 지금 대화를 나눌 수는 없어. 몸이 좋지 않아서 말이야.
Asher_8b,귀를 바짝 열고 잘 들어. 난 지금 내가 할 수 있는 모든 것을 하고 있어. 그랜트를 위해서 할 수 있는 건 다 하고 있다고.
Asher_8c,아직 충분한 시간이 남아 있는 건 알아. 하지만 네가 트랜지스터를 가져가고 난 후부터 그랜트는 뭔가 달라졌어.
Asher_8d,직접 그랜트를 육안으로 보면 아마 이해가 갈 거야.
Asher_10a,"그럼, 국가 안에서 또 보자."
Asher_10b,가만히 있을 수가 없었어. 직접 보고 싶어서 미칠 지경이었거든.
Asher_10c,"그랜트, 그는 더 이상 기다릴 수가 없었어."
Asher_10d,왜 그는 날 두고 떠난 걸까...
Asher_10e,머지 않아 영원함을 트랜지스터 안에 넣어 보이겠어. 평생 혼자인 것 보다는 이게 낫잖아?
Asher_10fALT,"하지만, 그는 더 이상 정확한 판단을 내리지 못하게 되어버렸어."
Asher_10g,아니면 스스로 볼 건 충분히 봤다고 생각했을지도 모르지.
Asher_10h,우리는 성공을 위해 우리가 걸었던 판돈이 얼만지는 대략 알고 있었어.
