ID,Line
Canals_2,하이라이즈가 코앞에 있어.
Canals_3,운하를 넘어서.
Canals_4,"이봐, 거기 애야...!"
Canals_5,너 길을 잃었니...? 아니야...?
Canals_6,어서 움직이는 게 좋겠어.
Canals_7,저들을 잡아.
Canals_8,"자, 어서 돌아오지 못해! 이..."
Canals_9,클러커들이야.
Canals_10,저것들 위에 저 발들...
Canals_11,땅거미가 지고 있네...
Canals_12,역시 거리는 북적북적 해야 되지 않겠어.
Canals_13,단말기는 아직 괜찮아.
Canals_14,꽤 중요한 주제로 설문조사를 하고 있네.
Canals_16,봤어?
Canals_17,귀여운데.
Canals_18,녹색! 멋있을 것 같은데.
Canals_19,오렌지! 괜찮을 것 같아.
Canals_20,자 이젠.
Canals_21,누군지 맞춰봐.
Canals_22,우리 뒤에...!
Canals_23,"조금만 더, 다른 쪽에 있는 물로."
Canals_24,백만 불짜리지.
Canals_25,이거 별로 마음에 들지 않는걸.
Canals_26,"잠깐만, 나 뭐 좀 해보고 싶어."
Canals_27,저기요오오! 거기 누구 있어요?
Canals_28,역시나.
Canals_29,이크...
Canals_30,"이봐, 당신 친구에 대해선 유감이야. 우린 그저..."
Canals_31,뛰어
Canals_32,그냥... 뛰어!
Canals_33,방금 무슨 일이 일어난 거지...
Canals_34,저기로 다시 돌아가고 싶지 않아
Canals_35,모래 상자...
Canals_36,가볼까?
Canals_37,"좋아, 다시 계속 가자."
Canals_38,하이라이즈에 무슨 일이 있는지 보러 가자.
Canals_39,뭐...? 싫어...
Canals_40,캐머라타... 그들이 이 마을 전체를 갈기갈기 찢어버렸어...
Canals_41,"...우리를 잡거나, 아니면 도망치기 위해서였겠지."
Canals_42,춤출 시간이다.
Canals_43,이번엔 요지부동이군 그래.
Canals_45,그대로 들어와.
Canals_46,"시빌, 그녀가 말하길, 그 '프로세스'는 멈출 수 없다는군."
Canals_47,나를 속일 수도 있었는데...
Canals_48,쯧.
Canals_49,"들어봐, 이 새끼야."
Canals_50,우리 마을에서 썩 꺼져라!
Canals_51,그리고 네 친구들에게 전해라.
Canals_52,해안 쪽은 정리됐어...
Canals_53,지금 살펴보자.
Canals_54,그럼 그게 사실이었군...
Canals_55,"레드, 어서 가자... 걸을 수 있을 때 걸어 둬야지."
Canals_56,여기서 거나하게 한 잔씩 걸치곤 했었지...
Canals_57,캐티의...
Canals_58,해안가...
Canals_59,클라우드 거리...
Canals_60,모두 꺼졌어.
Canals_61,이게 다 이것들 때문이야.
Canals_62,그대로 쭉 가...!
Canals_63,더 있는 거야? 으응?
Canals_64,또 덤빌 사람?
Canals_65,당장 우리 앞에서 꺼져.
Canals_66,여길 잊지 못할 거야.
Canals_67,올라간다.
Canals_69,저번엔 둘이 여기서 오붓한 보냈었는데...
Canals_70,우리 마을에서 나가라.
Canals_71,하늘이 푸르게 보이는 것은 우리가 원했기 때문이지...
Canals_72,친구들을 더 데려왔나 본데.
Canals_73,우리가 이 녀석들을 화나게 한 것 같지.
Canals_74,뒤에 대충 50명은 있는 것 같아. 뒤에 더 있을지도 몰라.
Canals_75,레드. 저길 좀 봐. 하이라이즈를 쪽 말이야.
Canals_76,트래버슨 홀... 안넥스 빌딩... 모두 저곳에 없어. 더 이상은.
Canals_77,스카이라인의 절반이... 사라져버렸어.
Canals_78,뭐가 쫓아오고 있던 간에... 여기저기로 퍼지고 있다는 건 분명해.
Canals_79,캐머라타. 그들이 이 마을 전체를 갈기갈기 찢어버렸어.
Canals_80,"우리를 잡기 위해서, 아니면 그냥 도망치기 위해서겠지."
Canals_81,하이라이즈는 동남쪽이야.
Canals_82,우리 뭔가 놓치고 있는 게 있는 것 같은데.
Canals_83,다시 왔던 길을 되돌아가고 싶어?
Canals_84,우리가 가는 길을 가로막지 말라고.
Canals_85,이거 보여? 캐머라타는 우리 마을을 이렇게 바꾸고 싶어하는 거야.
Canals_87,저 위드는 초과근무 중이라고.
Canals_88,치어리더들이 저것들을 흥분시키고 있어.
Canals_89,스냅샷이 더 빠르게 공격하고 있어.
Canals_90,놀랐군. 놀랐어.
Canals_91,그들은 정말 이해를 못 하는군.
Canals_92,스카이라인의 절반이 사라졌어....
Canals_93,아까 그 모래 상자야...
