ID,Line
Doors_2,물살이 좋아서 금방 올 수 있었네.
Doors_3,이런 거 싫은데.
Doors_4,그냥 빨리 끝내버리자.
Doors_5,열어!
Doors_6,아아악...
Doors_7,좋아. 하이라이즈로 가는 길이 바로 요 앞에 있을 거야.
Doors_8,조심해.
Doors_9,새로운 종류야.
Doors_10,사진을 찍잖아?
Doors_11,사진을...
Doors_12, '프로세스'... 여전히 한발 앞서 있어.
Doors_13,하지만 그들은 아직 우릴 멈추진 못했지.
Doors_14,네가 필요할 때 액세스 포인트는 어딨는 걸까.
Doors_15,저건 혹시...?
Doors_16,여긴 뭐가 있을까나...
Doors_17,마치... 파도 소리 같은데.
Doors_18,제기랄. 적어도 저곳에서 훔쳐보기라고 했어야 했는데.
Doors_19,무슨 일이 일어난 것 같은데. 바로 이 기계 안에서.
Doors_20,"다음 접선 지점을 우리가 찾았어, 무슨 말인지 알겠지?"
Doors_21,뭐가 최신이지.
Doors_23,"장담하건대, 오늘이야."
Doors_26,이 운하는 그냥 아래쪽으로 좀 굽은 것 같은데.
Doors_29,이건 새것이야.
Doors_31,그들이 여태 일부러 져주고 있었음이 분명해.
Doors_32,물론이지. 한 번 시도해 보자고.
Doors_34,그들은 가장 나쁜 길을 택할 수도 있어.
Doors_35,그래. 아마도 하지 말아야 할 것 같아.
Doors_36,그래. 아마도 다음에.
Doors_37,그대로 쭉 가.
Doors_38,땀도 안 나는군.
Doors_39,이거 느껴져?
Doors_46,너 괜찮아?
Doors_47,거기서 무슨 일이 일어난 거야?
Doors_48,"저기 하나,"
Doors_49,"그리고 둘,"
Doors_50,"그리고 셋,"
Doors_51,"그리고, 패배."
Doors_52,아니.
Doors_53,너 방법은 알고 있겠지?
Doors_54,서둘러야 할 것 같아.
Doors_55,"할 일 해, 레드."
Doors_56,흠...
Doors_57,...그냥 생각 중이었어.
Doors_58,마지막으로 너와 함께 운하에 갔던 때...
Doors_59,처음으로 운하에 갔던 때에 대해서...
Doors_61,꽤 먼 길을 왔어. 짬을 내서 네 두 발을 쉬게 해주자. 네 무기들도 그렇고.
Doors_62,"좋아, 작동하네."
Doors_63,"맹세하건대, 그 날은."
Doors_64,"널 위해서 내가 희생하고, 덕분에 그 지겨운 삼각기 게임이 끝난 거지."
Doors_65,그게 잠시 동안 나쁜 뉴스의 역할을 했으면 좋겠군.
Doors_66,모든 것이 우리가 버린 것 같은 느낌을 줘.
Doors_67,예전과 조금이라도 비슷했으면 하고 바라고 있었어.
Doors_69,그게 그들을 부르는군.
Doors_70,저런 방법으로 이곳에 온 거였나.
Doors_71,누구 없나요...?
Doors_72,뭔가 잊었나?
Doors_73,저 뒤에 뭐라도 있어?
Doors_74,하이라이즈로 가는 다른 길이야.
Doors_75,내가 생각하고 있는 게 맞는지 확인해 줘.
Doors_77,그들은 '프로세스' 인지 뭔지로 널 막을 수 있다고 생각해.
Doors_78,하지만 넌 그냥 더 강해질 뿐이야.
Doors_81,당분간은 유권자처럼 행동해야겠는걸.
Doors_82,너도 알다시피 난 저 방문국이 문을 연 것을 한 번도 본 적이 없어.
