ID,Line
Elevators_2,여길 통해서 올라갈 수 있을 거야.
Elevators_3,이게 작동된다면 좋겠는데.
Elevators_4,"다음 역은, 하이라이즈입니다."
Elevators_5,...뭔가 잘못됐어...
Elevators_6,준비해.
Elevators_7,위험했어...
Elevators_8,다 왔어.
Elevators_9,하이라이즈에  오신 걸 환영합니다.
Elevators_10,집에 잘 왔어.
Elevators_11,꽉 찼어.
Elevators_12,이 위에서는 다 괜찮아 보이는데 말이지.
Elevators_13,"어, 이런."
Elevators_15,가만있어.
Elevators_16,가만있어!
Elevators_18,싫어?
Elevators_19,나쁜 녀석이구나!
Elevators_20,계속 가자고.
Elevators_21,여기서 멈추는 게 낫지.
Elevators_22,마을에서 볼 수 있는 제일 멋진 풍경이야.
Elevators_23,"이 곳에 이렇게 오는 거, 좀 이상한 기분이야."
Elevators_24,네가 어떻게 느낄진 상상하지 못하겠지만.
Elevators_25,"뭐, 적어도 정션 잰에서 택배는 왔으니까...!"
Elevators_26,역시 초록 식물이 건강에 좋지.
Elevators_27,바다에서 갓 잡아 올린 해산물이라니.
Elevators_28,"슈프림 디럭스, 맥주랑 걸치면 딱이겠어."
Elevators_29,도우 위에 무슨... 토핑이 들어있을지 기대되는데.
Elevators_30,피자 배달도 아직 건재한가 봐.
Elevators_31,식은 것도 나쁘진 않은데.
Elevators_34,안에서 문 잠겼는데.
Elevators_35,너 다시 들어갈 수 있어...? 아하.
Elevators_36,단말기 저기 코너 뒤쪽에 있어.
Elevators_37,그럼 일단 수수께끼는 풀린거네.
Elevators_38,만약에 들을 사람이 있다면 말이지.
Elevators_39,어떻게 이 마을을 싫어할 수 있는 거지...
Elevators_40,마을에 무슨 일이 생기는거야 ...
Elevators_41,운하를 볼 수도 없어.
Elevators_42,"어, 레드, 있잖아..."
Elevators_43,지금 연결 상태가 좋지 않은 것 같아.
Elevators_44,무슨 일이... 일어나고 있는거야...
Elevators_45,"우리, 너희 집 지붕을 딛고 서있네?"
Elevators_46,있잖아 난...
Elevators_47,하이라이즈에 대해 생각해본 적이 별로 없거든.
Elevators_48,물가에서 멀리.
Elevators_49,그리고 난 알아낸 거야...
Elevators_50,네가 여기 살았다는 걸.
Elevators_51,밖에 뭔가 있나?
Elevators_52,상상 중이야.
Elevators_53,나 말고 다른사람들도...
Elevators_54,여기 안에 갇혀 있는 거라고 생각해 봐...
Elevators_55,바로 내 옆에 말이야...?
Elevators_56,난... 아무도 못 봤는데.
Elevators_57,헌데 하늘이 있어야 할 곳으로 고개를 들어 보면...
Elevators_58,난 네 얼굴이 보여...
Elevators_59,그리고 네가 내 목소릴 들을 수 있다는 것도... 다 알아.
Elevators_60,"너... 내 목소릴 들을 수 있는 거, 맞지?"
Elevators_61,파도...
Elevators_62,휴가 끝나고 돌아와서...
Elevators_63,조심... 해...
Elevators_64,어떻게 되어 가...?
Elevators_65,"너 아직 거기 있지, 레드...?"
Elevators_66,아. 좋아.
Elevators_67,우으...
Elevators_68,남서쪽... 브래킷 타워...
Elevators_69,이 하얀 벽들이 튀어나오고 있는 거 눈치챘어?
Elevators_70,"왠지 나, 그걸 그리워하고 있는 것 같아."
Elevators_71,...'프로세스'... 넌 아마도 이렇게 생각하고 있을 거야...
Elevators_72,...높은 곳을 무서워한다고?
Elevators_73,<웃음>
Elevators_74,단말기?
Elevators_75,모두가 국가로 가기 위해서 짐을 싸고 있어...
Elevators_76,나중에 다시 할까 ? <웃음>
Elevators_77,"아, 우린 지역의 관리자를 알아챌 거야."
Elevators_78,다시 출발하자.
Elevators_79,알고 싶은 게 있는데...
Elevators_80,그게 뭐 같아? 여기선...?
Elevators_81,고요해. 그냥... 고요해.
Elevators_82,바라건대....
Elevators_83,너랑 여전히 함께하기를.
Elevators_84,저 바깥쪽이야.
Elevators_85,방금... 뭐였어...?
Elevators_86,별거 아니었겠지.
Elevators_87,<웃음>
Elevators_88,브래킷 타워... 우리가 간다.
Elevators_90,경보가...!
Elevators_91,펫치...?
Elevators_92,내가 알던 그 녀석이 아닌데.
Elevators_93,만끽하도록 해. 난 괜찮아...
Elevators_94,이 마을 전체가 저당이라도 잡힌걸까.
Elevators_95,거리를 청소하기.
Elevators_96,네가 쉽게 나아가고 있어서 다행이야.
Elevators_97,다시 돌아와서 기쁘군.
Elevators_98,해변을 여기서 볼 수도 있곤 했지.
Elevators_99,다시 돌아가던지 올라갈 길밖에 없어.
Elevators_100,기분이 좋지 못한데.
Elevators_101,오. 세상에. 공정하지 못해.
Elevators_102,이것들 중에 그녀는 가짜를 집은 거지...?
Elevators_103,"그러니까, 힘내라고!"
Elevators_104,저 녀석은 좀 아파 보이는걸.
Elevators_105,"내가 걸리적거릴 테니 수영은 못 가겠다, 그치."
Elevators_106,넌 저어어기 위에 있는 타워의 꼭대기로 가려는 거지.
Elevators_107,단말기들은 마을 주변을 상당히 잘 유지하고 있지! 모든 것들이 정해지니까 말이야.
Elevators_108,우리가 얻었던 게 언제였던 것 같아? 이곳이 통째로 떨어졌을 때 말이야.
Elevators_109,식물들이 좀 창백해 보이지 않아?
Elevators_110,아마도 그들은 이 구역에 쉼터를 지으려고 했던 것 같아.
Elevators_111,"그저 예전에 못 봤던 이상한 연기만 날 뿐이야, 겁낼 것 없어."
Elevators_112,"내가 안 하는 걸 알고 가려는 거지, 기회다 싶어서."
Elevators_113,내가 알기론 우린 아래쪽에 먼저 가야 되는 거였지?
Elevators_114,길을 잃었어.
Elevators_115,네가 말하면 아무것도 들을 수가 없어 ... 내 모든 말은 저항인 거고...
Elevators_116,"들려, 들려..."
Elevators_117,"나랑 어울리는 장소로 가야겠어. 흠, 흠흠, 국가로..."
Elevators_118,두 개로 보일 거야.
Elevators_120,그들은 줄곧 여기로 오려는 것 같아.
Elevators_121,네가 어딘가에 발을 들렸다고 생각해?
Elevators_123,넌 나의 별이야. 언제나 자기 일을 척척 해내지. 언제나 괜찮게 말이야.
Elevators_124,내가 정말 사랑한다는 거 알고 있지 레드 ?
Elevators_125,"진짜야, 정말로."
Elevators_126,...정말이라고.
