ID,Line
Fairview_2,그럼 가 볼까?
Fairview_3,드디어 페어뷰에 도착했네. 생각보다 멀리 있는걸.
Fairview_4,저 아래로 가는 길을 찾아야겠는데.
Fairview_5,어디로 가야 하오...
Fairview_6,오.
Fairview_7,응... 아무것도 없어.
Fairview_8,여기서 보니까 썩 좋아 보이진 않는걸...
Fairview_9,저기 문이 있네. 저 뒤에 또 뭔가 있겠지.
Fairview_10,한결 낫네.
Fairview_11,페어뷰를 향해서.
Fairview_12,이것들.
Fairview_13,머리 모양. 하난 새로 들어왔네.
Fairview_14,이번엔 뒤로 숨었네.
Fairview_15,다른 놈은 벌써 장전 끝났어.
Fairview_16,다른 놈은 얼굴을 보여줬고.
Fairview_17,잘 해냈네.
Fairview_18,한 번 해봐.
Fairview_19,조금만 더.
Fairview_20,저건 새로 보는 놈인걸.
Fairview_21,자가 수리 기능이 있는 것 같은데.
Fairview_22,쉬는 시간을 좀 줄여보자.
Fairview_23,스스로를 노출시키고 있는데.
Fairview_24,조금 느려졌어.
Fairview_25,한 놈으로 좁혀졌고.
Fairview_26,꽤 거칠었어...
Fairview_27,계속 가자.
Fairview_28,날아서 가야 돼.
Fairview_29,다들 입을 모아서 말했었지...
Fairview_30,네가 이 마을 안에선 뭘 원하든 될 수 있다고.
Fairview_31,이게 바로 내가 원하는 거야.
Fairview_32,난 이런것에 익숙해질 수 있어.
Fairview_33,조금만 더 멀리.
Fairview_34,"로이스, "
Fairview_35,이것들은 적어도 숨지는 않는구먼.
Fairview_36,그걸로 될 거야.
Fairview_37,만약 로이스가 할 수 있었다면 너도 할 수 있어.
Fairview_38,다음.
Fairview_39,공원을 활보하는 것...
Fairview_40,"저거, 혹시 단말기인가?"
Fairview_41,"여기서 로이스가 뭘 봤던, 내 눈엔 안 보이는데."
Fairview_43,지긋지긋한 역사 공부는 잠시 접어두자.
Fairview_44,별로 마음에 들지 않는 곳이야.
Fairview_45,아마 이 길로 쭉 가면...
Fairview_46,적어도 여기보단 나은 곳이 나오겠지.
Fairview_47,"저기 밝은 빛이 보여, 아마 로이스겠지."
Fairview_48,클라우드 뱅크 전역이 이렇게 바뀔 테지.
Fairview_49,다시는 그렇게 두지 말자.
Fairview_50,마을 안에선 저런 걸 본 적이 없어...
Fairview_51,드디어.
Fairview_52,어서 나와.
Fairview_53,거기서 나와...
Fairview_54,어딜 감히.
Fairview_55,저기 다른 놈이 있어.
Fairview_56,더 나빠질 수도 있었잖아.
Fairview_57,처리 완료
Fairview_58,어떤 길이 맞는 길일까.
Fairview_59,허.
Fairview_60,"순순히 자백하시지, 로이스."
Fairview_62,어느 쪽으로 가든 막다른 길이야.
Fairview_63,이번엔 다른 길로 가보자
Fairview_64,여기 뭔가 있나 봐?
Fairview_65,저길 봐.
Fairview_66,"잠깐만, 그거 다시 말해줄래?"
Fairview_67,로이스가 가까이 있는 것 같아. 틀림없어.
Fairview_68,우리가 뭘 얻었나 볼까.
Fairview_70,캐머라타의 모든 표적들... 그리고 나.
Fairview_71,저들이 대체 뭘 알고 있는 걸까.
Fairview_72,"몸은 좀 풀었니, 로이스?"
Fairview_73,이건... 뭔가 있네.
Fairview_74,거기 있구나.
Fairview_75,너희들 네 명이나 있구나.
Fairview_76,여전히 세 명 남았어.
Fairview_77,반 정도 왔어.
Fairview_78,마지막 하나.
Fairview_79,좋았어.
Fairview_80,"주변의 모든 것이, 쓸려나가고 있어..."
Fairview_81,여기가 틀림없군.
Fairview_82,"안녕, 로이스. 만약 네가 들을 수 있다면 말이야."
Fairview_83,농담이야.
Fairview_84,"난 널 믿어, 레드."
Fairview_88,네가 내 목소리를 듣고 있다는 걸 알아. 아직 빠져나갈 길이 있어.
Fairview_89,그래서...
Fairview_90,"자, 온다."
Fairview_91,저기 또 오네.
Fairview_92,"이봐, 기다려..."
Fairview_93,"레드, 알아차렸어?"
Fairview_94,방문객을 많이 받지 않는다 이건가.
Fairview_95,처음으로 그의 말을 이해하겠어...
Fairview_96,그가 맞길 빌어...
Fairview_98,이걸로 끝이군.
Fairview_99,"잘 들어, 무슨 일이 일어나든 간에 그냥..."
Fairview_100,"난, 널 사랑한다."
Fairview_101,그건 알고 있지?
Fairview_103,여기까지 온 데는 이유가 있어.
Fairview_104,우리가 더 잃을게 뭐가 있겠어.
Fairview_105,이게 우리가 여기 있는 이유야.
Fairview_106,들리는 거 다 알아. 난 널 죽게 놔두지 않아. 나랑 같이 있어. 나랑 같이.
Fairview_108,마을 사람 누구든 네가 무엇이든 될 수 있다고 말해줬어.
Fairview_109,넌 네가 뭘 해야 될지 알고 있어.
Fairview_111,하지만 우린 다시 만날 거야.
Fairview_112,"우린, 다시 만날거야."
Fairview_113,시간이 됐어.
Fairview_114,"잠시 동안, 안녕."
