ID,Line
Farewell_2,"우리, 도망쳤어."
Farewell_3,"레드, 우리가 따돌렸다고."
Farewell_4,이제 넌 여기 있어. 그리고 나도 여기 있지. 그거면 된 거야.
Farewell_5,봐봐... 이 거지 같은 마을.
Farewell_6,아마... 이건 네 거야. 텅 빈 도화지.
Farewell_7,그리고 아직 붓은 너에게 있어.
Farewell_8,네가 캐머라타 보단 나아.
Farewell_9,"그래서, 어디서부터 시작할래...?"
Farewell_10,하이라이즈에 있는데 네 집으로 돌아가자...
Farewell_11,골드워크부터 보수하고...
Farewell_12,"정션 잰도 가고, 운하에서 뭐라도 마시고..."
Farewell_13,무슨 생각이야?
Farewell_14,레드...? 잠깐. 지금 뭐 하는 거야?
Farewell_15,"잠깐, 잠깐잠깐, 레드, 뭐 하는 거냐고?"
Farewell_16,나 지금 가만히 있어달라고 부탁하고 있어.
Farewell_17,기다려 레드.
Farewell_18,"하지 마, 분명 하지 말라고 했어."
Farewell_19,"제발, 하지 마."
Farewell_20,만약 네가 이런 짓을 한다면...
Farewell_21,왜 이러는 거야?
Farewell_22,가지 마.
Farewell_23,제발 레드.
Farewell_24,멈춰!
Farewell_25,레드!!
Farewell_26,안녕...
Farewell_28,근데 네가 어떻게...
Farewell_30,"레드!! 레드... 안돼, 레드. 뭘 저지른 거야, 뭘 한 거냐고... 안돼, 레드, 안돼. 안돼."
Farewell_32,페어 뷰... 사라져버렸어.
Farewell_33,이걸 봐... 마을 전체를 봐.
Farewell_34,이제 이 세상의 모든 시간을 가졌어.
Farewell_35,....아...
Farewell_36,봐.
Farewell_37,그건 내가 아니야. 이젠 아니지.
Farewell_38,난 여기서 안전해. 이 안에선.
Farewell_39,난 너와 함께 있어. 이 안에서.
Farewell_40,"잠깐, 잠깐, 잠깐, 뭐하는 거야 ?"
Farewell_41,레드 ...
Farewell_42,하지 말라고 했어 ...
Farewell_43,멈춰!
Red_79,저기...
Red_58,"오, 제발 닥쳐줘."
Farewell_53,난 아직도 너와 함께 있어. 하지만 여기서 나가진 않을 거야.
