ID,Line
Flashback_2,"뭣... 여긴... 뭐야... 안 돼. 이봐... 레드, 어딨어...! 어디로 간 거야?"
Flashback_3,"가지 마, 이럴 수가... 나 여기, 바로 여기 있어. 여기 있다고..."
Flashback_4,"레드가 다쳤다면, 내가 뭘 할 수 있지? 아무것도 못해."
Flashback_5,"갇혔어, 안에, 내가... 이 안에 있는 거야? 아무것-- ...정말 '아무것도' 없어."
Flashback_6,"아니, 잠깐. 괜찮은 것 같아. 난 멀쩡해. 음, 더 나쁠 수도 있었잖아?"
Flashback_7,"그런데 얜 어딨지. 바로 여기 있었잖아, 너랑 나랑, 대체 어떻게 된 거야..."
Flashback_8,제기랄.
Flashback_9,어이...!
Flashback_10,너야?
Flashback_11,오...
Flashback_12,너였구나.
Flashback_13,살아있었어.
Flashback_14,"난, 살아있는지 확신이 안 드는데."
Flashback_15,<웃음>
Flashback_16,네 도움을 받아야 할 거 같아
Flashback_17,나도 내 모습이 좋지 않아 보인다는 거 알아.
Flashback_18,그냥 천천히 이해하려고 노력해봐.
Flashback_19,"잠깐, 어디 가는 거야..."
Flashback_20,듣고 있긴 한 거야...?
Flashback_21,돌아와...
Flashback_22,여기 있었구나. 여기 있었어.
Flashback_23,"나야... 레드, 나야..."
Flashback_24,"이봐, 뭔가 말이라도 해봐."
Flashback_25,너 말할 수 있잖아? 그치?
Flashback_26,"...오, 안돼."
