ID,Line
Goldwalk_2,...불쌍한 녀석.
Goldwalk_3,열 블록만 더 가자.
Goldwalk_4,하이힐 같은 건 신지 않았기를 바랄게.
Goldwalk_5,골드워크가 이렇게 조용한 건 본 적이 없는데...
Goldwalk_6,우리가 올 걸 예상하고 있었구나.
Goldwalk_7,그때 그 녀석보단 강해 보이는데.
Goldwalk_8,이놈들은 우리를 기다리고 있었어...
Goldwalk_9,여기서도 꽤 좋은 시간을 보냈던 거 같은데.
Goldwalk_10,실어봐.
Goldwalk_11,쥐새끼 한 마리 없네. 발자국이 없었다면 이곳을 알아보긴 꽤 어려웠을 거야.
Goldwalk_12,단말기가 아직도 있네.
Goldwalk_13,꽤 배가 고픈가 본데...
Goldwalk_14, '엄마는 바다 괴물' 말고 먹을 수 있는 게 있긴 한 거야?
Goldwalk_15,아니면 저거거나.
Goldwalk_16,맞아...
Goldwalk_17,음식이 식기 전에 돌아가면 될 것 같네.
Goldwalk_18,저 녀석들도 많이 배고픈가 본데?
Goldwalk_19,우리 스스로를 완전히 무방비 상태로 열어놨었네.
Goldwalk_20,고작 해산물이 곁들여진 빵 쪼가리 때문에.
Goldwalk_21,고작 야채가 곁들여진 빵 쪼가리 때문에.
Goldwalk_22,고작 수상해 보이는 빵 쪼가리 때문에.
Goldwalk_23,고작 기름기가 줄줄 흐르는 빵 쪼가리 때문에.
Goldwalk_24,
Goldwalk_25,음. 땅이 비옥하네...
Goldwalk_26,
Goldwalk_27,
Goldwalk_28,
Goldwalk_29,
Goldwalk_30,
Goldwalk_31,
Goldwalk_32,
Goldwalk_33,
Goldwalk_34,
Goldwalk_35,
Goldwalk_36,
Goldwalk_37,
Goldwalk_38,
Goldwalk_39,"잠깐만, 저기서 '채널'을 한 번 체크해볼래?"
Goldwalk_40,"줄 서서 기다리지 않아도 되네, 이게 첫 번째야."
Goldwalk_41,아무것도...
Goldwalk_42,만약 네가 저것들을 세지 않으면...
Goldwalk_43,더 뒤로 가야 돼?
Goldwalk_44,"최대한 망쳐보라고, 친구."
Goldwalk_45,
Goldwalk_46,"모두, 쉿."
Goldwalk_47,저기 단말기가 있어.
Goldwalk_48,"저 녀석들, 전부 일어나게 하고 열 맞춰서 떠나버렸어...?"
Goldwalk_49,어쩌면 저렇게 뻔한 글만 써댈까...
Goldwalk_50,그래 난 이렇게 말할 거야...
Goldwalk_51,최고 기록보다 더 빨리 '채널'을 나가는 것.
Goldwalk_52,"여덟 블록 남았네, 거의 다 왔어."
Goldwalk_53,곤란해...
Goldwalk_54, '크립'이 다시 자라나고 있어.
Goldwalk_55,그냥 지나가는 정도...
Goldwalk_56,"안녕, 이게 뭐야...!"
Goldwalk_57,자 다시 간다...!
Goldwalk_58,"트랙을 따라서, 두 번째 서킷이야."
Goldwalk_59,"뭘 생각하는 거야, 레드?"
Goldwalk_60,
Goldwalk_61,점프할 준비를 해...
Goldwalk_62,...지 않아도 될 것 같네.
Goldwalk_63,뭐 놓친 것 있어?
Goldwalk_64,한 번만 더.
Goldwalk_65,"...레드, 그냥 말해주고 싶은 게 있는데..."
Goldwalk_67,괜히 이상한 데서 시간 보내지 말자.
Goldwalk_68,우리가 필요한 그 이상으로...
Goldwalk_69,이번엔 응원해줄 치어리더 같은 뭔가가 있어.
Goldwalk_70,
Goldwalk_71,깔끔하게 정리할 시간이야.
Goldwalk_72,내가 보기엔 여긴 끝났고...
Goldwalk_73,눈도 깜짝 안 했어...!
Goldwalk_74,"좋지 않아, 강화를 했어..."
Goldwalk_75,아마 이 방법으로 모두를 후퇴시킨 것 같아.
Goldwalk_76,
Goldwalk_77,
Goldwalk_78,
Goldwalk_79,
Goldwalk_80,
Goldwalk_81,
Goldwalk_82,
Goldwalk_83,
Goldwalk_84,아주 좋아.
Goldwalk_85,저런 식으로?
Goldwalk_86,더 원해?
Goldwalk_87,기다려.
Goldwalk_88,아직 아니야.
Goldwalk_89,"기다려봐, 그냥..."
Goldwalk_90,레드...!
Goldwalk_91,아악...
Goldwalk_92,어서 거기서 나와!
Goldwalk_93,어서 가자!
Goldwalk_94,이건 어떠냐아...!
Goldwalk_95,때려!
Goldwalk_96,안돼...
Goldwalk_97,"기다려, 넌..."
Goldwalk_98,레드!
Goldwalk_99,너 지금 일어나야 해...
Goldwalk_100,넌 할 수 있어...
Goldwalk_101,되갚아줄 시간이다.
Goldwalk_102,아직 있어.
