ID,Line
Monster_2,마을의 가장 높은 곳.
Monster_3,이 탑은 천 번이 넘는 변화를 겪었지.
Monster_4,분명히 꽤 오래됐을 거야.
Monster_5,물론 중앙 관리 시스템이 탑을 깨끗하게 유지해.
Monster_6,매번...
Monster_7,매번 네가 이 마을 안에서 투표를 할 때마다...
Monster_8,이곳 어딘가에 기록되고... 분류되지...
Monster_9,보여?
Monster_10,클라우드 뱅크를 더 나은 곳으로 만들기 위한 또 다른 기회야.
Monster_11,"오, 너 괜찮아 보여."
Monster_12,네가 농담을 하고 있는 것이기를 바랄게...
Monster_13,넌 절대 잊지 않아.
Monster_14,그저 조금의 휴식이 필요해.
Monster_15,겉보기에 넌 안전해 보이는데...
Monster_16,...한번 믿어 보도록 할게.
Monster_17,하늘에 뭔가가...
Monster_18,호랑이도 제말하면 온다더니...
Monster_19,세상의 스파인...
Monster_20,우... 와...
Monster_21,시계 좀 볼래!
Monster_22,우리는 신경 쓰지 마!
Monster_23,아프지 않았어.
Monster_24,아프지 않았어...!
Monster_25,저것도 안 아팠어.
Monster_26,우린 한시가 급해.
Monster_27,"그러니까, 언제라도 네가 준비된다면 말이야."
Monster_28,지금은 어때?
Monster_29,저기 뒤에.
Monster_30,"방금 그거, 내가 보기엔 꼬리였던 것 같아."
Monster_31,아까 그건 그냥 단순한 꼬리였을거야.
Monster_32,모두들 어디로 간 거야...?
Monster_33,내가 저만큼이나 컸다면...
Monster_34,아마 누군가에게 쫓겨 숨지 않았겠지.
Monster_35,저기 있군...!
Monster_36,스파인이 보여...
Monster_37,"실례합니다, 지나갈게요..."
Monster_38,"그러니까, 어..."
Monster_39,난 준비됐어. 넌 어때?
Monster_40,지금은 어때...?
Monster_41,스파인 혼자만 재미를 보게 할 순 없지.
Monster_42,저거 스파인... 보여?!
Monster_43,날아 올라갔어...
Monster_44,아마 날아서 간 것 같아.
Monster_45,내가 방금 이 말을 했었나?
Monster_46,브래킷 타워... 마을의 모든 중요한 사항들을 결정하지.
Monster_47,그랜트와 캐머라타 놈들이 영향력을 행사하고.
Monster_48,"이봐, 적어도, 만약 우리가 여길 통과한다면..."
Monster_49,우리가 그곳에 있었다고 말할 수 있을 거야.
Monster_50,"레드, 난... 응...?"
Monster_51,넌 언제나 철두철미해 보여...
Monster_52,내가 계단보다 싫어하는 게 뭔지 알아?
Monster_54,"그러니까 지금은 말이야, 아직은 없어."
Monster_55,안녕...!
Monster_56,어떻게 그 안으로 들어간 거야?
Monster_57,있지... 내가 세운 가설이 하나 있는데.
Monster_58,갑자기 든 생각이지만.
Monster_59,이 일들의 원인들은...
Monster_60,거대해... 굉장히.
Monster_61,"되게 하얗고, 붉은 물방울무늬나, 포니테일처럼..."
Monster_62,뭐랄까... 가까이 갈수록 점점 우리에게서 멀어지는 것 같아.
Monster_63,방해하지 마. 그냥...
Monster_64,국가로 사라져버렸잖아.
Monster_65,우리가 움직이지 않으면 저 단말기보다 상황이 더 나빠질 거야.
Monster_66,내가 보기에 그들은 그 쪽지를 받을 것 같지 않아.
Monster_67,생각해 봐. 우린 더 큰 문제게 있어.
Monster_68,"저기, 스파인은 어디에 있는 거야?"
Monster_69,거의... 거의 다...
Monster_70,있잖아... 재밌는 얘기가 있는데... 들어 볼래?
Monster_71,아이유가 어떤 아이ㅇ...
Monster_72,아니다. 그냥 안 할게.
Monster_73,나중에 해주지.
Monster_75,"레드, 기다려 봐..."
Monster_76,제발 좀...
Monster_77,"오, 세상에..."
Monster_78,난... 못하겠어...
Monster_83,잘 해냈구나.
Monster_85,말도 안 돼...
Monster_86,우리가 어디쯤에 있는지 알겠어?
Monster_87,드디어 도착했어...!
Monster_89,캐머라타의 수장이 영향력을 행사한다지.
Monster_90,없어.
Monster_91,관광을 하기엔 웃긴 타이밍이야...
Monster_92,내가 보기엔 다른 길로 돌아서 가야 할 것 같은데...
Monster_93,우리 여기 전에 와본 적 있지 않아?
Monster_94,이봐! 왜 갑자기 멈춘 거지?
Monster_95,신호가 약해져...!
Monster_96,신호가 안 들려!
Monster_99,...안녕.
Monster_100,고마워.
Monster_101,네가 그곳에서 한 짓에 대해서.
Monster_102,그리고 기타 등등 다른 것들도 잘 해냈군.
Monster_103,저 문들 중에 하나야.
Monster_104,어찌 됐든 내가 말했듯이... 내가 뭘 말하고 있었더라.
Monster_106,아직 멀었니...
Monster_108,알았어. 알았다고... 내가... 그래.
Monster_109,최대한 노력하고 있어... 노력하고 있다고...
Monster_110,가서 그것들을 데려와...
Monster_111,난 널 믿어...
Monster_113,올라가는 것 밖에 길이 없어! 저 '프로세스' 가 우리 뒤에 남겨진 모든 것을 부숴버렸잖아.
Monster_114,"이 탑은 어디로도 가지 않아. 내 말 알아들어, 스파인?"
Monster_115,만약 몰랐다면 난 저것이 널 두려워한다고 생각할 거야.
Monster_116,이크... 내가 좋은 부분을 놓친 것 같군.
Monster_117,지금 저게 나한테 하는 것이란 말이야...?
