ID,Line
ReturnToGoldwalk_2,어디 있는 거야...
ReturnToGoldwalk_3,아직 거기 있지... 응?
ReturnToGoldwalk_4,...골드워크.
ReturnToGoldwalk_5,<웃음>
ReturnToGoldwalk_6,그거 알아 레드? 우리 손발 좀 잘 맞는 것 같아.
ReturnToGoldwalk_7,목소리 없는 여성.
ReturnToGoldwalk_8,육체가 없는 남성.
ReturnToGoldwalk_9,전부 캐머라타에게... 빚졌어.
ReturnToGoldwalk_10,그들은 이 마을에서 분명 꽤 많이 시도를 했을 거야.
ReturnToGoldwalk_11,"이봐, 조용히 하라고!"
ReturnToGoldwalk_12,그거 거기 조용히 해.
ReturnToGoldwalk_13,이게 내가...
ReturnToGoldwalk_14,오... 예.
ReturnToGoldwalk_15,<노래를 부른다>
ReturnToGoldwalk_16,물을 정말 싫어하는 모양이구나...
ReturnToGoldwalk_17,"곧 모두가, 그리고 모든 것이..."
ReturnToGoldwalk_18,아마 전부 하얀색 작은 블록처럼 될 거야. 그리고 눈알 몇 개랑.
ReturnToGoldwalk_19,우리만 빼고! 우리만 빼고.
ReturnToGoldwalk_20,다른 사람처럼 우려할 필요는 없겠어.
ReturnToGoldwalk_21,"그리고 우리 둘 중에는, 아마 너만 해당되겠지..."
ReturnToGoldwalk_22,<노래를 부른다>
ReturnToGoldwalk_23,저기 있는 저크는 우릴 눈치도 못 챌 거라고...
ReturnToGoldwalk_24,"너한테 대놓고 말하고 있었잖아, 멍청아!"
ReturnToGoldwalk_25,그래.
ReturnToGoldwalk_26,"물러 서, '크립' 들이야!"
ReturnToGoldwalk_27,"어, 난 지금 당장 출발하고 싶은데, 너만 괜찮다면야."
ReturnToGoldwalk_28,화이트 노이즈...
ReturnToGoldwalk_29,세상에. 또 시작이네.
ReturnToGoldwalk_30, '채널' 이 왜 여기 있는 거야?
ReturnToGoldwalk_31,나도 더 이상은 몰라.
ReturnToGoldwalk_32,"레드... 내가 언젠가는, 너를 다시 볼 수 있을까...?"
ReturnToGoldwalk_33,그러니까... 네 얼굴을 말이야.
ReturnToGoldwalk_34,그런 생각을 자주 하곤 해.
ReturnToGoldwalk_35,"그러니까 네가 나를 이곳에서 구해주지 않을까, 그런 것들."
ReturnToGoldwalk_36,"그리고! 우리 주변의 모든 것들이, 쓸려나가듯 사라지는 거야..."
ReturnToGoldwalk_37,손에 손잡고.
ReturnToGoldwalk_38,<노래를 부른다>
ReturnToGoldwalk_39,"더 이상, 더 이상은 참을 수 없어."
ReturnToGoldwalk_40,이제 피자는 어디에서 시켜먹지...?
ReturnToGoldwalk_41,"이건, 완전 비극이데..."
ReturnToGoldwalk_42,거기서 뭘 찾을 수 있다고 생각하는 거야?
ReturnToGoldwalk_43,내 얘기 듣는 걸 좋아하나 보지.
ReturnToGoldwalk_44,우리 아름다운 오토바이가 어디 있더라...
ReturnToGoldwalk_45,저건 우리게 아닌데...
ReturnToGoldwalk_46,"그러니까, 멋진... 헤어스타일을 했는데."
ReturnToGoldwalk_47,"이 남자, 대체 뭐야..."
ReturnToGoldwalk_48,꼭... 남자처럼 생겼는데.
ReturnToGoldwalk_49,부서져 버렸어.
ReturnToGoldwalk_50,이젠 괜찮아...
ReturnToGoldwalk_51,레드... 태워줘서 고마워.
ReturnToGoldwalk_52,<웃음>
ReturnToGoldwalk_54,
ReturnToGoldwalk_55,
ReturnToGoldwalk_57,잠깐... 거기서 물러나...!
ReturnToGoldwalk_58,아직 그대로 있네.
ReturnToGoldwalk_60,잰 교차로의 것은 아니겠지 ...
