ID,Line
ReturnToStage_2,네 무대야...
ReturnToStage_3,"페어뷰에 왔어, 이제 우리가 이걸 막을 수 있어."
ReturnToStage_4,너무 많아...
ReturnToStage_5,너 아까 장소를 지나친 것 같은데.
ReturnToStage_6,"잠깐 기다려 봐, 저기 더 있어..."
ReturnToStage_7,내가 보기엔 빨리 가야 할 것 같아.
ReturnToStage_8,네 마음대로 해.
ReturnToStage_9,"음, 네가 잡아냈네..."
ReturnToStage_10,"레드... 너, 풀 하우스가 나왔는데."
ReturnToStage_11,이 끓어오르는 감정... 좋은데.
ReturnToStage_12,오우케이.
ReturnToStage_13,신경도 안 쓰는 거 같은데.
ReturnToStage_14,저것들은 여길 노래 들으려고 온 건가?
ReturnToStage_15,우...
ReturnToStage_16,"그거, 되게 멋졌어."
ReturnToStage_17,그 위에 안녕...
ReturnToStage_18,아마 친구를 데려오려나 봐.
ReturnToStage_19,그는 갈 곳을 잃은 것 같아.
ReturnToStage_20,켜져 있는 건가?
ReturnToStage_21,저놈들이 생각하기엔 네가...
ReturnToStage_22,난장판이군 그래...
ReturnToStage_23,...그래도 막말은 안 하네.
ReturnToStage_24,그냥 소문이 사실이 되지 않도록 확실하게 해야 해.
ReturnToStage_25,온 곳으로 되돌아가 보자. 네가 날 찾았던 곳으로 가 봐.
ReturnToStage_26,거기서부터 우리의 길을 찾을 거야.
ReturnToStage_27,이건 더 이상 우리 마을이 아냐...
ReturnToStage_28,녀석들의 마을이지.
ReturnToStage_29,저기 안에 뭔가 있을지 3가지 정도 예상이 되는데.
ReturnToStage_30,막혀있어. 전부 다.
ReturnToStage_31,"어이, 안녕들. 새로운 소식 있어?"
ReturnToStage_32,안녕?
ReturnToStage_33,우릴 무시하는데.
ReturnToStage_34,일어나...!
ReturnToStage_35,조그만 안식과 평화...
ReturnToStage_36,그런 거로군.
ReturnToStage_37,"알려줄 만한 뉴스도 없고, 알려줄 사람도 없어."
ReturnToStage_38,난 준비됐어. 넌?
ReturnToStage_39,여기서 나가는 건 어때...
ReturnToStage_40,이것 봐.
ReturnToStage_41,클라우드 뱅크의 제일 가는 명소...
ReturnToStage_42,하나 터졌고 열 개 더 있네.
ReturnToStage_43,열 개 아니면 일만 개 정도.
ReturnToStage_44,생각한 대로 해. 난 한가하니까.
ReturnToStage_45,수영을 싫어하나 본데.
ReturnToStage_46,포스터까 조만간 빨리 와야 하는데.
ReturnToStage_47,여기선 페어뷰가 안 보여. 하지만 분명 저기 어딘가에 있어.
ReturnToStage_48,"오, 안돼..."
ReturnToStage_49,"넌 아직 여기 있고, 나도 아직 여기 있어... 넌 아직 저기 있고, 난 아직 여기 있어."
ReturnToStage_51,사라졌어.
ReturnToStage_52,저놈은 숨는 게 아니야... 사냥하는 거지.
ReturnToStage_53,저기 있군.
ReturnToStage_54,일단 마을의 끝자락으로 돌아가자.
ReturnToStage_55,그리고 페어뷰를 향해 가는 거야.
ReturnToStage_56,캐머타라의 마지막 멤버가 기다리고 있을 테니까.
ReturnToStage_57,"아니면 아예, 우리가 만났던 곳으로 돌아가는 방법도 있어."
ReturnToStage_58,난 네가 그러길 바랬어.
ReturnToStage_59,여기서 나가버려.
ReturnToStage_60,보인다.
ReturnToStage_61,놈들 중 하나일 뿐이야.
ReturnToStage_62,좀 낫군.
ReturnToStage_63,새로운 주제를 가지고 떠드는 것 같은데.
ReturnToStage_64,어딜 가는 거야...?
ReturnToStage_65,어째서 이 방향으로 돌아가고 있는 거야?
ReturnToStage_67,네가 맞는 거 같아.
ReturnToStage_68,"그럼, 당연하지."
ReturnToStage_69,레드...
ReturnToStage_70,도착하면 무슨 일인지 확실히 알 수 있겠지.
ReturnToStage_71,"이런 종류의 하얀 블록들, 단순한 나무와 집과 물건들이 아니었어."
