ID,Line
ReturnToWelcome_2,저 오토바이가 정말 고생해 줬어.
ReturnToWelcome_3,다른 오토바이 친구들처럼 폐차장으로 가선 안 될 것 같지.
ReturnToWelcome_4,"나중에 국가 안에서 봐, 오토바이 씨."
ReturnToWelcome_5,너 먼저 가...
ReturnToWelcome_6,"윽, 무슨... 산란기인가."
ReturnToWelcome_7,발 조심하고 바로 빠져나갈 거야.
ReturnToWelcome_8,"기다려, 레드!"
ReturnToWelcome_9,"하지 마, 그냥--!"
ReturnToWelcome_10,"안녕, 아가씨들...!"
ReturnToWelcome_11,레드. 문 쪽으로. 빨리.
ReturnToWelcome_12,"너무 많아, 싸울 수 없어."
ReturnToWelcome_13,...뛰어!
ReturnToWelcome_14,"넌 뭔가 달라, 알고 있어?"
ReturnToWelcome_15,휘유.
ReturnToWelcome_16,"잘가, 아가씨들...!"
ReturnToWelcome_17,여기가 그때 우리가 그 운 좋았던 놈들을 찾았던 곳이야.
ReturnToWelcome_18,아직도 여기 어딘가에서 돌아다니고 있겠지.
ReturnToWelcome_19,그들이 바닥을 한 뭉터기 떼어서 가져갔어. 어디냐가 문젠데...
ReturnToWelcome_20,뛰어!
ReturnToWelcome_21,펑.
ReturnToWelcome_22,다시 산책로로.
ReturnToWelcome_23,네 포스터... 여전히 붙어있네.
ReturnToWelcome_24,"이봐, 저것들이 널 좋아하는 것 같아...!"
ReturnToWelcome_25,진심으로 좋아하나 봐.
ReturnToWelcome_26,일방통행이지만.
ReturnToWelcome_27,김치!
ReturnToWelcome_28,사진 엄청 잘 나왔네.
ReturnToWelcome_29,분위기 있는 조명...
ReturnToWelcome_30,"단말기를 좀 살펴볼까, 그냥 그대로 올라갈까?"
ReturnToWelcome_31,"여기서 발견했던 여자, 몸은 사라졌지만, 여전히 그 자취가 우리를 따라다니고 있어."
ReturnToWelcome_32,단말기가 널 관리자로 보는 것 같은데.
ReturnToWelcome_33,...아마 맞을 거야.
ReturnToWelcome_34,우리가 모르는 걸 알려주지 않으련.
ReturnToWelcome_35,마을의 99프로...
ReturnToWelcome_36,1프로. 아마 반올림한 것 같네.
ReturnToWelcome_37,여긴 아무도 없어...
ReturnToWelcome_38,수치들...
ReturnToWelcome_39,네가 알고 싶지 않아 하는 것들...
ReturnToWelcome_40,이게 아직 작동한다니 놀라운걸.
ReturnToWelcome_41,올라가기 전에 더 할 거 있어?
ReturnToWelcome_42,...이건 투표가 아니야. 그냥 선택이지.
ReturnToWelcome_43,...이건 더 이상 투표라고 할 수 없어. 그저 선택일 뿐이야.
ReturnToWelcome_44,내 마음을 읽었구나.
ReturnToWelcome_45,눈이 조금 오면 배경이랑 잘 어울릴 거 같아.
ReturnToWelcome_46,내버려두는 게 나을 것 같아...
ReturnToWelcome_47,이것 봐. 도시로 갈 열쇠를 얻었구나.
ReturnToWelcome_48,"날씨는 그냥 뭐, 무난해 보이네."
ReturnToWelcome_49,우린 아직 나아갈 수 있어.
ReturnToWelcome_50,Hello world...
ReturnToWelcome_51,...너 상태가 별로 안좋아 보여.
ReturnToWelcome_52,여긴 더 볼 건 없어.
ReturnToWelcome_53,거의 다 왔어.
ReturnToWelcome_54,"캐머라타의 마지막 멤버, 그는 우리가 찾아올 걸 예상하고 있겠지."
