ID,Line
Rooftops_2,이곳이 우리를 중앙 홀로 이끌어 줄 거야.
Rooftops_3,그들은 우리가 그대로 걸어 들어가게 놔둘 거야.
Rooftops_4,너한테 메시지가 온 것 같은데.
Rooftops_5,캐머라타로부터의 안부 인사...
Rooftops_6,스스로 주변에 담장을 쌓았어?
Rooftops_7,네가 이 쓰레기들을 사지 않기를 바랄게.
Rooftops_8,적어도 우린 그들이 여기 있다는 걸 알아.
Rooftops_9,우리가 그들을 찾을 거야.
Rooftops_10,그들이 살갑게 대해줄지도 모르지.
Rooftops_11, '저희는 당신에게 끼친 모든 불편함에 대해 진심으로 뉘우치고 있습니다.'
Rooftops_12, '여기 당신의 목소리와 육체가 있습니다.'
Rooftops_13, '좋은 하루 되세요.'
Rooftops_14,나만의 비밀 클럽이 있었으면 좋겠는걸.
Rooftops_15,"특별한 유니폼, 비밀 암호로 악수하기."
Rooftops_16,"사적인 미팅, 멋진 계획들."
Rooftops_17,"어때, 멤버가 되고 싶지 않아?"
Rooftops_18,"생각할 시간을 줄게, 기회를 열어 둘 테니까."
Rooftops_19,브래킷 타워의 중앙 홀... 좋은 추억을 가져본 적이 없어.
Rooftops_20,"자, 어디 보자."
Rooftops_21,분명 제일 꼭대기 층까지 태워주는 고속 리프트일 거야.
Rooftops_22,닫혀 있는데.
Rooftops_23,어디 한번 살펴보자고.
Rooftops_24,거짓말쟁이.
Rooftops_25,그는 거짓말을 하고 있어. 왜 아니겠어.
Rooftops_26,그들은 왜 여기에 있는 걸까...
Rooftops_27,그들은 앞으로 왔었어...
Rooftops_29,그들은 이 마을을 바꾸려고 했었어...
Rooftops_30,원래의 마을과 다른 것으로 바꾸려고.
Rooftops_31,해변에 한 번 들렀다가 갈까?
Rooftops_32,"그리고 돌아왔네, 우리."
Rooftops_33,"그래, 저 안쪽을 살펴보자."
Rooftops_34,다른 두꺼비집이 저 안에 있을 거야.
Rooftops_35,보수 시스템이...
Rooftops_36,셋에 갈까?
Rooftops_37,셋.
