ID,Line
Royce_2a,시작이군...
Royce_2b,"나는 캐머라타의 로이스 브래킷, 프록시를 통해서 말하고 있어."
Royce_2c,나는 지금 휴전을 권하기 위해 연락하고 있지.
Royce_2f,"봐, 난 '프로세스'를 정말 많이 좋아했었어. 오, 하지만..."
Royce_2g,...'프로세스'는 자기가 하고 있는 일을 멈춰야만 해.
Royce_2h,"그리고 내 추측은, 아마 너도 이걸 무척이나 좋아했겠지."
Royce_2i,"내가 옳았다고 가정하고, 그렇다면..."
Royce_2j,"따라와, 그럼 우린 이걸 정리할 수 있어."
Royce_2k,아마도 정리할 수 있겠지.
Royce_3a,"나는 로이스, 로이스 님이 말하고 있습니다."
Royce_3b,"그리고 난, 지금 휴전을 권하기 위해 연락하고 있지."
Royce_3c,"그래서, 휴전하자. 알겠지?"
Royce_3d,난 시민으로서 얘기하고 있는 거야.
Royce_3e,"봐, 난 '프로세스'를 정말 많이 좋아했었어..."
Royce_3f,하지만...
Royce_3g, '프로세스'가 하고 있는 일을 멈추는 곳.
Royce_3h,그리고 난 너희들도 그걸 좋아한다는 의구심이 들어.
Royce_3i,"만약 그렇다면... 그래, 우리 한 번 알아보자고."
Royce_3j,아마 우린 이걸 알아낼 수 있을 거야.
Royce_4a,트랜지스터...
Royce_4b,"이게 뭘 할 수 있지, 이게 사실은 뭘 할 수 있을까?"
Royce_4c,"글쎄, 음, 이건 다리를 지을 수 있어! 예를 들자면. 의미가 있지."
Royce_4d,"사람들이 만약 페어뷰에 다리를 원한다면, 물론이지. 왜 안 되겠어?"
Royce_4e,"좋아, 결정됐어."
Royce_4f,아름다운 새 다리를 갖는 거야.
Royce_4g,"이건 단순히 다리라는 사실보다 더 많은 의미를 갖지, 당연하게도."
Royce_4h,왜? 이건 네가 바라는 거라면 뭐든지 이룰 수 있어. 정말로.
Royce_5a,페어뷰를 위해!
Royce_5b,페어뷰.
Royce_5c,페어뷰를 설명할 수 있는 단어가 뭐가 있을까?
Royce_5d,"고요하고, 품격있는 경치를 가지고 있지. 정말로."
Royce_5e,마을로부터 조금만 떨어져 있기를 원했어.
Royce_5f,"내 일을 할 수 있는 곳을, 내 말은 진짜 '일' 말이야."
Royce_5g,방해로부터 자유로운.
Royce_6a,페어뷰는 완성된 적이 없었어.
Royce_6b,제일 중요했던 것도 아니었지.
Royce_6c,"내 말은 마을 내부가 모든 것을 갖는다면, 교외지가 무슨 매력이 있지?"
Royce_6d,"글쎄. 난 주변에 충분히 있어봤지, 모든 것이 변하고, 변하고, 변하는 걸 지켜봤어..."
Royce_6e,"...충분할 정도로, 그리고, 난 이곳의 고요함이 마음에 든다는 걸 알게 되었어."
Royce_6f,난 이 고요함이 좋아.
Royce_7a,"우리에겐 신조가 있지, 그게 뭐냐면..."
Royce_7b,"""모든 것이 변화하는 것처럼 보인다면, 그것은 아무것도 변화하지 않은 것이다."""
Royce_7c,저거 보여?
Royce_7d,"""모든 것이 변화하는 것처럼 보인다면, 그것은 아무것도 변화하지 않은 것이다."""
Royce_7e,하지만 이 모든 것? 이건 우리가 꿈꿔왔던 게 아니야.
Royce_8c,하지만 이 모든 것? 이건 우리가 꿈꿔왔던 게 아니야.
Royce_9a,"이 마을, 외관을 바꾸지, 언제나. 맞지?"
Royce_9b,"다리, 공원, 고속도로들, 올라가고, 내려가고, 사람들의 변덕에 맞춰 올라가고 내려가고를 반복하고..."
Royce_9c,"...계절 변화와 함께, 심지어 계절마저, 그것들은 그냥... 충동적으로 변하지."
Royce_9d,난 그것에 피곤함을 느끼기 시작했어. 그 후로 잠시 말이야.
Royce_9e,모든 것이 계속 변해. 쉼 없이 계속 변한다고.
Royce_10a," '프로세스', 얜 그저, 자기 할 일을 하는 거지, 그냥 자기 할 일을 하는 거야."
Royce_10b,"그래도, 난 '프로세스' 가 내 취향의 일을 하는 것을 더 선호했어."
Royce_10c,"하지만 우리의 오랜 친구 그랜트는, 내 말은, 난 그가, 난 그가 그걸 빌리게 허락했지, 그리고 그는..."
Royce_10d,"뭐, 아무튼 간에, 우리가 여기 이렇게 모였으니까."
Royce_11a,뭔가 좀 시험 삼아 해 봐야지.
Royce_11b,요즘 시험 삼아 해보는 게 정말 많아졌어.
Royce_11c,"그랜트와 다른 놈들, 그놈들은 날 빼고 저만치 먼저 가버렸지, 안 그래? "
Royce_11d,"그리고 지금은 너와 나... 뿐이야, 그렇지?"
Royce_11e,너와 나...
Royce_11f,...그리고 트랜지스터.
Royce_12a,내가 '프로세스' 를 어떻게 설명할 수 있을까...
Royce_12b,프로세스' 는...
Royce_12c,어디 보자...
Royce_12d,늙었지!
Royce_12e,이 마을만큼 늙어빠졌다고.
Royce_12f,"고집도 세지, 겉만 번지르르하기 좋아하는 주제에, 굉장히 윤리적이야, 정말로."
Royce_12g,"정해진 코드를 따르고, 정해진 규칙들을 따르지."
Royce_12h,"물론, 규칙들은 바뀔 수 있지."
Royce_12i,모든 건 바뀔 수 있어.
Royce_13a, '프로세스' 는 멈출 수 없어. 멈춰질 수도 없지. 하지만...
Royce_13b, '프로세스' 를 그냥 간단하게 스스로 물러나게 할 수는 있지.
Royce_13c,그들의 업무를 다른 어딘가로 보내버리는 거야.
Royce_13e,그렇게 된다면 우린 충분히 고독해지지.
Royce_13f,"마을을 위해서, 우리는 스스로에게 빈 도화지를 줄 거야."
Royce_13g,"그리고 트랜지스터를 위해서, 우리는 스스로에게 붓 하나를 쥐여줄 거야."
Royce_14a,여기 트랜지스터 안에는 '자취' 들이 남아있지.
Royce_14b,"사람들은 매일같이, ""옛날옛날에..."" 같은 삶을 살았지만, 이젠, 물론 자의는 아니지만, 그들은... 갇혔어."
Royce_14c,"너를 신경 쓰는 벽은 없지만, 그저, 그들은 그들 스스로 살아간단 말이야."
Royce_14d,만약 충분히 가까이 온다면 그들의 목소리를 들을 수 있겠지.
Royce_14e,"그러니까, 그중 몇몇만. 네가 아는 사람들."
Royce_15a,"...그리고 그게, 트랜지스터의 진실된 목적이지."
Royce_15b,그건 트랜지스터의 본질이야.
Royce_16a,트랜지스터가 재밌는 건...
Royce_16b,어디 보자.
Royce_16c,들어올 수 있지만 나갈 순 없다는 거지.
Royce_16d,이건 어때!
Royce_16e,넌 이 안에 들어올 수 있지만 이건 일방통행이거나 일 차선인 도로와 같아.
Royce_16f,국가랑 비슷하지.
Royce_16g,네가 방문하고 싶을 때 반짝 갔다 올 수 있는 곳이 아니란 얘기야.
Royce_17a,트랜지스터...
Royce_17b,안에 뭐가 있는지 감도 안잡히네.
Royce_17c,인간일지 물건일지.
Royce_17d,"나도 여러 가지 가설을 세워봤지만, 글쎄, 진짜 그냥 가설이라서."
Royce_17e,난 이 안을 쭉 들여다봐 왔어.
Royce_17f,내 스스로를 살짝 보게 해줬지.
Royce_17g,"하지만 많이 보진 않았어, 별로 본 게 없었지."
Royce_17h,그건 마치... 하늘을 바라보는 것과 같아.
Royce_18a,"그래, 거의 다 왔어, 거의 다 왔다고..."
Royce_18b,"너, 준비됐어?"
Royce_18c,"재밌는데, 나 지금 조금 떨리기 시작했어!"
Royce_18d,"그러니까 어서 들어와, 들어와."
Royce_19a,들어 와!
Royce_19b,"어서 와, 어서, 음, 들어 와. 내 스튜디오에 어서 오라고."
Royce_19c,네 눈으로 볼 수 있듯이 난 무장도 하지 않았고...
Royce_19d,"그러니까 이 안에선 안전해, 비교적 안전하지."
RoyceLive_19a,들어 와!
RoyceLive_19b,"어서 와, 어서, 음, 들어 와. 내 스튜디오에 어서 오라고."
RoyceLive_19c,네 눈으로 볼 수 있듯이 난 무장도 하지 않았다고...
RoyceLive_19d,"그러니가 이 안에선 안전해, 비교적 안전하지."
RoyceLive_19e,적어도 지금은 말이야.
Royce_20a,네가 뭘 쥐고 있을까...
Royce_20b,네 손안에 말이야.
Royce_20c,아마 하늘 위의 별... 이거나...
Royce_20d,무덤이거나.
Royce_20e,세상의 종말...
Royce_20f,국가가 도달할 종착역이지.
Royce_20g,"누군가 상상했을 것보다 가볍기도 해. 값을 따질 수 없는 아티팩트, 더..."
Royce_20h,"...중요해, 그게 뭐냐고, 나도 모르겠는데? 우리 둘을 합친 것보다 더, 뭔가..."
Royce_20i,...내가 생각해낼 수 있는 것보다 더 귀중하지. 진짜로.
Royce_20j,그런데 넌 그걸 질질 끌고 다녔구나.
Royce_20k,땅바닥에...
Royce_21a,매번 사람들이 변화를 만들면...
Royce_21b,...바다 쪽이든 하늘 쪽이든 그 사이 아무 곳이든 간에...
Royce_21c,...'프로세스'는 열심히 일해.
Royce_21d,"아무도 볼 수 없는, 무대 뒤에서."
Royce_21e,"나한테 묻는다면, 글쎄. 난 열심히 일한 자는 그에 맞는 대가를 받아야 한다고 생각해."
Royce_21f,"그래서, 난 '프로세스' 가 주연으로서 무대 위로 올라갈 방법을 찾아냈어!"
Royce_21g,"트랜지스터는 내 지휘자의 지휘봉이었어, 비유하자면."
Royce_21h, '프로세스' 를 콘서트 안에서 계속 일할 수 있게 만드는 방법이었지.
Royce_21i,조화롭게.
Royce_22a,"바로 여기 우리가 주목해야 할 점이 있지. 자, 만약 트랜지스터가 자기 요람으로 돌아가지 않는다면, 그러니까, 너와 나 둘 다..."
Royce_22b,"글쎄, 얼마 지나지 않아 우린 아무것도 아닌 존재가 되어 사라질 테지."
Royce_22c,"너, 나, 그리고 남은 마을 전체가."
Royce_22d,"그러니까, 정중히 부탁하건데..."
Royce_22e,내 작업을 쓸모없게 만들지 말아 줘.
Royce_22f,난 꽤 합리적인 부탁을 하는 거야.
Royce_23a,그리고 지금 폭로해줄게.
Royce_23b,"엄청난 사실이 여기 있지, 그러니까..."
Royce_23c,난 이게 백 프로 성공할 것이라고 자신해.
Royce_23d,"그 말은, 트랜지스터에 요람을 더한다면, '프로세스'의 종말이라는 결괏값이 나온다는 얘기야."
Royce_23e,"두려워할 만한 결과가 전혀 아니잖아, 알아들어?"
Royce_23f,우린 그저 한 번에 하나씩 옮기면 되는 거야.
Royce_23g,한 번에 하나의 주제만.
