ID,Line
Sandbox_2,그래서...
Sandbox_3,내가 뭘 기대하고 있는진 모르겠지만...
Sandbox_4,이게 아니었어.
Sandbox_5,분명 여기 어딘가 있을 거야. '프로세스' 가.
Sandbox_6,"있잖아, 우리가 하고 있는 게 조금 무모하긴 하지만..."
Sandbox_7,그렇게 나쁜 상황은 아니야.
Sandbox_8,아직 클라우드 뱅크까진 못 갔지만 말이야.
Sandbox_9,첫 번째 문을 시도해보자.
Sandbox_10,모래.
Sandbox_11,물.
Sandbox_12,아무것도 없어.
Sandbox_13,여기 있으면 안 돼.
Sandbox_14,준비해!
Sandbox_15,녀석들의 앞마당인데도 우릴 못 잡는데.
Sandbox_16,더 많을 거라고 생각했는데...
Sandbox_17,"자, 다시 가 볼까."
Sandbox_18,저번처럼. 더 나아질 거야.
Sandbox_19,이젠 두 번째 문안에 뭐가 있을지 궁금해졌어.
Sandbox_20,나중에 알아볼까.
Sandbox_21,...우린 가야만 해.
Sandbox_22,작은 고요와 평화.
Sandbox_23,짧게 휴식을 갖자고.
Sandbox_24,난 괜찮아. 아마 괜찮은 거 같아.
Sandbox_25,분명 괜찮을 거야.
Sandbox_26,나... 괜찮은 거 같아.
Sandbox_27,나... 다시 괜찮아졌어.
Sandbox_28,분명... 저 뒤의 공기안에 뭔가 있는 것 같은데.
Sandbox_29,"그냥, 가. 난 괜찮아."
Sandbox_30,애셔가 기다려 주겠지.
Sandbox_31,애셔랑 그랜트와의 큰 미팅을 위해 준비를 좀 해야겠는데...
Sandbox_32,브래킷 타워보단 여기가 낫군.
Sandbox_33,애셔랑 그랜트가 저 문들 뒤에 있어.
Sandbox_34,캐머라타가 긴장 좀 하겠는걸.
Sandbox_35,타워로 돌아가자.
Sandbox_36,"으, '스파인'... 놈들 중 하나였으면 하고 있었는데."
Sandbox_37,내가 좀 웃기게 말하더라도 그냥 날 무시해줘. 알았지?
Sandbox_38,꽤 오래 여길 비워둘 것 같은 느낌이 드는걸...
Sandbox_39,"우릴 맞을 준비는, 로이스...?"
Sandbox_40,같은 시각... 같은 장소로. 맞을 거야...
Sandbox_41,긴장하라고.
Sandbox_42,우리가 여기 있는 동안 바깥세상도 시간이 흐르고 있을까.
Sandbox_43,난 벌써 기분이 나아졌는걸.
Sandbox_44,우리가 저 바깥에 있을때는 항상 모든 게 괜찮아.
Sandbox_45,다시 밖으로 돌아가자.
Sandbox_46,다시 현실로.
Sandbox_47,쭉 들이켜.
Sandbox_48,"안녕, 루나!"
Sandbox_49,준비됐어?
Sandbox_50,"첫 번째 문, 두 번째 라운드."
Sandbox_51,한번 해 보자고.
Sandbox_52,"같은 해변인데, 저번이랑 뭔가 달라졌어..."
Sandbox_53,"두 번째 문, 다시."
Sandbox_54,"여기, 뭔가 달라졌어."
Sandbox_55,"근데 잠깐만, 저기 더 있어."
Sandbox_56,세 번째 문.
Sandbox_57,"세 번째 문, 한 번만 더."
Sandbox_58,"세 번째, 오케이."
Sandbox_59,세 번째 문이 또 열렸어.
Sandbox_60,왜 이건 닫히지를 않는 것인지.
Sandbox_61,저 안을 청소해 보자고.
Sandbox_62,뭔가 또 해야할 일이 있는 모양인데.
Sandbox_63,우린 순식간에 갔다가 나올 거야.
Sandbox_64,행운의 네 번째 문.
Sandbox_65,네 번째로 다시 해보자고.
Sandbox_66,네 번째 문.
Sandbox_67,"다음 라운드로, 준비됐어?"
Sandbox_68,우리의 운을 한 번 시험해 보자고.
Sandbox_69,다섯 번째 문 뒤에는 뭐가 있으려나.
Sandbox_70,리허설 할 시간이야.
Sandbox_71,세트를 가로질러 달리자고.
Sandbox_72,밴드 연습.
Sandbox_73,"여섯 번째 문, 한 번도 눈치채지 못했어."
Sandbox_74,뒤는 맡겨 둬.
Sandbox_75,무운을 빌어.
Sandbox_76,시빌 저 녀석... 모두에게 살갑게 대하곤 했는데.
Sandbox_77,아까 우리에게 자신의 본모습을 보여줬었지.
Sandbox_78,"캐머라타 놈들, 그녀가 우릴 그들 쪽으로 안내해주고 있다는 걸 알면 어떻게 반응하려나."
Sandbox_79,"여긴 아늑하기만 하고 좋은데, 바깥은 어때."
Sandbox_80,"프로세스', 난 그것이 너만 원하는 줄 알았거든. 그런데 마을 전체를 노리고 있어."
Sandbox_81,"하이라이즈에서. 내가 저 밖에서 어떤 상태였는지 잘 모르겠어, 그건 마치..."
Sandbox_82,"아무튼, 그게 뭐였든지 간에 그냥 지난 일이지."
Sandbox_83,다시 나 자신으로 돌아온 된 기분이야. 더했든 덜했든 간에.
Sandbox_84,저 밖에 뭔가가 있어. 타워 안에.
Sandbox_85,난 그걸 느낄 수 있어.
Sandbox_86,밖에 보이지? 콧대에 정면으로 펀치를 날려줄래? 만약 쟤가 코를 가지고 있다면 말이야.
Sandbox_87,우린 해변가에 있지. 그리고 지금 생각나는 건 그랜트의 비웃은 얼굴밖에 없네.
Sandbox_88,우리가 그를 잡는다면... 뭘 할지 생각해 놨어? 난 정해놨어...
Sandbox_89,"애셔는 말했지, ""모든 것이 변화하는 것처럼 보인다면, 그것은 아무것도 변화하지 않은 것이다."" 그럼 그들의 계획은... 모든 걸 자기 입맛에 맞추자는거야, 뭐야?"
Sandbox_90,"기분이 어때? 캐머라타의 블랙리스트에 오르는 게. 그들은 최고만을 원했어. 너희들을 모두 몰아넣고, 그 뒤는 누가 알겠어?"
Sandbox_91," '프로세스'... 그들이 어느 정도 커지거나 한다면... 아, 갑자기 머리가 핑 도는데."
Sandbox_92,캐머라타의 멤버 하나가 아직 밖에 있어. 애셔는 분명 그가 '프로세스'를 막을 계획이 있는 것처럼 말했어. 좀 더 봐야 알겠지.
Sandbox_93,방금 로이스의 잔소리를 한 사발 듣고 왔어.
Sandbox_94,"하지만 만약 그가 '프로세스'를 없앨 수 있다고 말하는 거면, 그냥 넘길 말은 아니라고 생각해."
Sandbox_95,그럼 이렇게 하자. 넌 캐머라타로부터 간신히 목숨을 부지해서 도망쳤지. 이제부터 그들이 너로부터 도망가는 처지가 될 거야.
Sandbox_96,"그래, 푹 쉬어. 그래 두는 게 좋을 거야..."
Sandbox_97,"이봐, 브래킷 타워에서, 내가 그 농담 안 들려줬지. 준비됐어?"
Sandbox_98,관리자와 술 취한 사람의 차이점이 뭐게?
Sandbox_99,나는 관리자가 된 적이 없어.
Sandbox_100,이거 켜져 있어?
Sandbox_101,안심해.
Sandbox_102,넌 항상 해변를 보고 싶다고 말했었지.
Sandbox_103,우린 혼자가 아니야.
Sandbox_105,이봐... 적의는 없는 것 같아. 내가 보기엔.
Sandbox_106,"안녕, 루나. 널 루나라고 불러도 되니?"
Sandbox_107,"루나, 물어 와."
Sandbox_108,착하네.
Sandbox_109,"야아, 루나."
Sandbox_110,"뭔가 새로운 게 있니, 루나?"
Sandbox_111,그르르.
Sandbox_112,우릴 좋아하는 것 같아. 그녀의 친구들에겐 유감인걸.
Sandbox_113,"저걸 가져와, 저 공 말이야."
Sandbox_114,누군가 우릴 본다면 썩 좋아하진 않을 거야.
Sandbox_115,웃기네.
Sandbox_116,내가 할 수 있다면 너랑 놀았을 텐데.
Sandbox_120,준비되면 말해.
Sandbox_121,프로세스' 가 나타나면 서둘러서 움직여야 해.
Sandbox_122,기록이나 재 볼까.
Sandbox_123,빠르게 뛸 준비 됐어?
Sandbox_124,얼마나 빨리할 수 있을지 보자.
Sandbox_125,네 오랜 친구들이 오네.
Sandbox_126,시-작.
Sandbox_127,시간은 흐르고 있어.
Sandbox_128,시간이 얼마 없어!
Sandbox_129,시간이 거의 다 지났어!
Sandbox_130,시간이 얼마 안 남았어.
Sandbox_131,더 남은 시간이 없어.
Sandbox_132,꽤 할 만했네.
Sandbox_133,네가 해냈어.
Sandbox_134,짧고 달콤하네.
Sandbox_135,충분히 가치 있었어.
Sandbox_136,동전 한 닢도 도움이 되지.
Sandbox_137,충분히 빠르지 못했어.
Sandbox_138,다음번엔 조금만 더 빠르게 해보자.
Sandbox_139,"저기, 조심해!"
Sandbox_140,"오, 잠깐만. 아니다, 신경 쓰지 마."
Sandbox_141,포위당했어!
Sandbox_142,긁어버려. 우린 끝났어!
Sandbox_143,"그래, 한 번 해봐."
Sandbox_144,내가 말했던 것처럼!
Sandbox_145,꽤 힘들 것 같은데.
Sandbox_146,보여? 꽤 힘들 것 같다니까.
Sandbox_147,"뭘 하든 간에, 눈을 깜빡이지 마."
Sandbox_148,퍼펙트.
Sandbox_149,우린 정말 완벽한 것 같아.
Sandbox_150,바로 그거야.
Sandbox_151,저것 좀 신경써.
Sandbox_152,그다지 아닌데.
Sandbox_153,다시 해볼래?
Sandbox_154,한 번 더 해볼래?
Sandbox_155,놓쳤어.
Sandbox_156,이번엔 뭐가 있을까.
Sandbox_157,그냥 저것들보다만 더 버티면 돼.
Sandbox_158,저들보단 오래 버틸 수 있어.
Sandbox_159,"이번엔 라운드 열 개만 버티면 돼, 준비됐어?"
Sandbox_161,저기 쉬는 시간 종이 치네.
Sandbox_162,싸움은 시작되었어.
Sandbox_163,라운드 원.
Sandbox_164,어디 한 번 해보자.
Sandbox_165,출발!
