ID,Line
Stage_2,다 왔다...
Stage_3,완전히 버려졌네.
Stage_4,어... 내 말은 저 녀석만 빼고 세면 말이야.
Stage_5,안녕. 모두들 어디로 간 건지 알아?
Stage_6,"음, 우선 우리가 널 여기서 꺼내줄 거야."
Stage_7,그는 '프로세스' 가 자기 자신을 삭제했다고 말했어.
Stage_8,이 안에 뭐가 있는지 알아맞혀 봐.
Stage_9,그래. 폭발물들.
Stage_10,어제만 해도 매우 많은 사람들이 있었는데...
Stage_11,불들도 다 켜 놓고 가버렸네...
Stage_12,"단말기, 이게 뭐가 좋은 장치라는 거야."
Stage_13,"이봐, 네가 헤드라인에 있어."
Stage_14,캐머라타에 대한 어떤 말도 하지 마. 괜한 소문 안 나는 게 좋지 않아?
Stage_15,저쪽에서 고쳐서 다시 올리겠네.
Stage_16,"그래, 계속 찾아보자고."
Stage_17,제시간에 왔군.
Stage_18,또 이 여성분이신가...
Stage_19,보디가드도 있는데.
Stage_20,"아직도 돌아다니고 있는 건가, 허..."
Stage_21,"좋아, 준비하라고."
Stage_22,저들이 가는 걸 봐.
Stage_23,...왠지 모두들 어디 갔는지 알 거 같은데...
Stage_24,아래층을 한번 살펴보자.
Stage_25,이곳 어딘가 우리가 찾는 것이 있는 게 분명해.
Stage_26,투표가 조금 철 지난 건데.
Stage_27,팩스 기계가 드디어 휴식기를 가졌네.
Stage_28,그래... 만약에라도.
Stage_29,네가 따라오기는 조금 힘들 것 같아.
Stage_30,다시 하던 것으로 돌아가자.
Stage_31,"그래, 시간 낭비야."
Stage_32,"...무대에 선 너를 멀리서 처음 봤을 때는, 뭐랄까..."
Stage_33,...모두가 널 사랑했어.
Stage_34,그들을 제외한 모두가.
Stage_35,무대 왼쪽에서..
Stage_36,이게 누구야.
Stage_37,"기다려, 다른 쪽..."
Stage_38,"또 만났네, 시빌."
Stage_39,너...
Stage_40,하고 싶은 말이라도 ?
Stage_41,시빌...?
Stage_42,완전히 정신줄을 놔버렸어.
Stage_43,아마 본인도 알고 있지 않을까.
Stage_44,그녀가 돌아왔어.
Stage_45,"이제 너와 그녀, 둘 뿐이야."
Stage_46,거의 다 잡았어.
Stage_47,회복하고 있어.
Stage_48,하!
Stage_49,시빌...
Stage_50,세 번째 라운드.
Stage_51,뭔가 강해졌는데.
Stage_52,이제서야.
Stage_53,또 있어?!
Stage_54,작작 좀...
Stage_55,...그녀는 이제 끝났어.
Stage_56,이젠 뭐지..
Stage_57,어...
Stage_58,그녀를 이렇게 두고 갈 순 없어.
Stage_59,"안녕히, 시빌..."
Stage_60,그녀의 자취가...
Stage_61,"안녕, 또 만났네. 시빌..."
Stage_62,네 캐머라타 친구들 말이야. 어디 있는지 알려 줄 수 있을까. 무슨 말인지 알겠어?
Stage_63,우리가 원하는 걸 얻었어.
Stage_64,우리는 시내 쪽으로 갈 거야.
Stage_66,우리가 여기 있는 걸 아는군.
Stage_67,넌 항상 약속된 시간에 늦는 법이 없었지...
Stage_68,다시 무대로...
Stage_69,"그 녀석, 너무 멀리 갔어..."
Stage_70,"그녀, 여기 있어."
Stage_71,하!
Stage_74,"시빌, 그녀 말이야... 우리가 그때 들이닥친 후부터, 그녀는 떠난 적이 없었던 것 같아."
Stage_75,빈 세트장. 다른 사람들을 위해선 닫혀 있는게 좋을 거야.
Stage_76,"부두 쪽을 살펴보자, 이건 누구도 모르는 거잖아."
Stage_78,어떤 행운을 가지고서도...
Stage_79,"이봐, 이봐."
Stage_80,넌 언젠가 다시 돌아올 거야.
Stage_81,저쪽에 우리를 위한 것은 없어.
Stage_82,"이쪽 길은 예전에 확인했었지, 맞아?"
Stage_83,여기에 무언가 남아있을 것 같진 않아.
Stage_85,"넌 추적 중이야, 우리가 다른 문제를 가지고 있다 하더라도."
Stage_86,그들은 주인공을 상대할 기회조차 없었답니다.
Stage_87,"왜 그래, 너 할 수 있잖아."
Stage_88,정신을 완전히 놨군.
Stage_89,시빌의 자취...
Stage_90,네가 처한 곤경에 뭔가 더 있어.
Stage_91, '프로세스' 가 우리를 기다리고 있을 거야.
