ID,Line
Sybil_2,레드... 레드... 레드...
Sybil_3,"여기 있지, 여기 있는 거지, 너 여기 있지? 네가 돌아온 거 다 알고 있어 다 알고 있어..."
Sybil_4,"도와줘, 살려줘, 구해줘, 우린 네 도움을 바랐을 뿐이야..."
Sybil_5,"혼자, 나 혼자, 혼자서 말했어. 너도 혼자일 거라고 말했어..."
Sybil_6,내가 구했어 널 구했어 널 살렸어 난 항상 항상 원했어...
Sybil_7,"일어나, 일어나, 일어나 ..."
Sybil_8,"우린 끝나지 않았어, 끝나지 않았어, 끝나지 않았어..."
Sybil_9,"그 목소리, 그 목소리, 그 목소리, 우리가 죽였는데, 죽였는데, 분명히 죽였는데 ..."
Sybil_10,"날 봐, 날 봐, 나를 봐 보이지 않는 거니 레드 ..."
Sybil_11,"모든 게 변화하는 것처럼 보인다면, 아무것도 변화하지 않는 거야. 아무것도 바뀌지 않아!"
Sybil_12,"숨어있네, 숨어있네, 비겁하다구..."
Sybil_13,"돌아오렴, 어디있니, 돌아오렴..."
Sybil_14,"아 거기 있네, 그래, 거기야..."
Sybil_15,"오 안녕, 안녕, 안녕..."
Sybil_16,"프로세스'는 멈춰질 수 없어, 멈출 수 없어, 멈추면 안 돼..."
Sybil_17,"트랜지스터, 트랜지스터, 트랜지스터..."
Sybil_18,"트랜지스터, 트랜지스터, 트랜지스터..."
Sybil_19,"트랜지스터, 트랜지스터, 트랜지스터 !!"
Sybil_20,"돌려줘, 돌려줘, 돌려줘!"
Sybil_21,"네 것이 아니야, 네 것이 아니야, 아니라고 그거..."
Sybil_22,"네가 감히, 네가 감히, 어떻게 네가..."
Sybil_23,"가졌어, 가졌다고, 우린 널 거의 다 가졌었다고오오!"
Sybil_24,"네 목소리, 사라져버렸어, 사라져버렸어..."
Sybil_25,"넌 내가 기다릴 수 있었다는 걸 알고 있었어, 알고 있었지."
Sybil_26,"어서 와, 잘 왔어, 환영해."
Sybil_27,"드디어, 드디어, 이제 우린 될 수 있어..."
