ID,Line
Welcome01_2,
Welcome01_3,
Welcome01_4,
Welcome01_5,
Welcome01_6,
Welcome01_7,
Welcome01_8,
Welcome01_9,
Welcome01_10,
Welcome01_11,
Welcome01_12,
Welcome01_13,
Welcome01_14,그렇지...
Welcome01_15,다시 만났네.
Welcome01_16,헤. 목소리뿐이지만...
Welcome01_18,
Welcome01_19,
Welcome01_20,
Welcome01_22,
Welcome01_23,
Welcome01_25,
Welcome01_26,
Welcome01_27,
Welcome01_28,
Welcome01_29,"저기, 레드..."
Welcome01_30,
Welcome01_31,
Welcome01_32,
Welcome01_33,
Welcome01_34,이제 도망칠 수도 없게 됐어... 알아?
Welcome01_35,
Welcome01_37,
Welcome01_38,저기 '빈 세트장' 이 있네.
Welcome01_39,그냥 클라우드 뱅크의 평범한 하루야...
Welcome01_40,
Welcome01_41,
Welcome01_42,
Welcome01_43,흠. 우리 적어도 백 블록은 떨어져 있을걸.
Welcome01_44,
Welcome01_45,
Welcome01_46,
Welcome01_47,
Welcome01_48,
Welcome01_49,
Welcome01_50,
Welcome01_51,
Welcome01_52,
Welcome01_53,
Welcome01_54,
Welcome01_55,
Welcome01_56,네 '오랜 친구들' 이야. 이미 우리를 찾았네.
Welcome01_57,
Welcome01_58,
Welcome01_59,
Welcome01_60,
Welcome01_61,저 녀석들이 널 데려가고 싶어하는 것 같은데.
Welcome01_62,나도 마찬가지야.
Welcome01_74,
Welcome01_78,
Welcome01_82,
Welcome01_84,
Welcome01_87,
Welcome01_91,"워, 워워."
Welcome01_103,
Welcome01_105,
Welcome01_106,
Welcome01_107,
Welcome01_108,
Welcome01_109,
Welcome01_113,그들이 우리를 가뒀어...
Welcome01_114,
Welcome01_116,
Welcome01_117,
Welcome01_119,
Welcome01_121,
Welcome01_123,
Welcome01_124,
Welcome01_125,
Welcome01_127,
Welcome01_133,
Welcome01_134,
Welcome01_136,
Welcome01_146,그냥 주저앉아서 세상이 돌아가는 걸 보기만 할 수 있었으면 좋겠어...
Welcome01_147,
Welcome01_154,
Welcome01_166,
Welcome01_167,
Welcome01_169,
Welcome01_176,좋은 생각이야. 어서 가자.
Welcome01_177,전방에 블록들이 파티를 열고 있네.
Welcome01_181,
Welcome01_186,저기 그들이 온다...!
Welcome01_190,무슨 얘기를 하고 있었지...
Welcome01_201,
Welcome01_202,
Welcome01_203,
Welcome01_204,
Welcome01_221,
Welcome01_227,준비!
Welcome01_230,흠.
Welcome01_234,"자, 우리가 간다."
Welcome01_235,지금이야!
Welcome01_238,
Welcome01_250,"자, 당겨..."
Welcome01_251,그거야...!
Welcome01_252,
Welcome01_253,
Welcome01_256,
Welcome01_258,"...어이, 레드..."
Welcome01_259,그건 내가 아냐.
Welcome01_260,더 이상은.
Welcome01_261,난 이제 안전해. 바로 여기 안에서.
Welcome01_262,
Welcome01_263,그러니까 제발. 어서 가자.
Welcome01_265,아무것도 느껴지지 않아.
Welcome01_267,그만 됐어. 전부 꺼내버려...
Welcome01_269,이크...
Welcome01_273,좋았어...!
Welcome01_274,오우.
Welcome01_276,다시 일어난다.
Welcome01_277,그들이 속한 곳으로 돌려보내 줬네.
Welcome01_278,좋아. 가자.
Welcome01_279,표지판이 없는 골목에... 동쪽만이라...
Welcome01_280,"그래, 우리가 어디 있는지 알 것 같아."
Welcome01_282,저쪽에서 구역 전체를 차단해버렸어.
Welcome01_284,저기 '크립' 들이 더 있어.
Welcome01_285,
Welcome01_287,안녕. 아직도 나랑 같이 있는 거야?
Welcome01_292,"이봐, 저기 위에..."
Welcome01_294,Hello World...
Welcome01_296,비가 왔으면 좋겠는걸. 네 흔적들을 덮어버릴 수 있잖아.
Welcome01_303,"저기, 빈 세트장이 보이네."
Welcome01_306,우린 뭔가를 알아낼 수 있을 거야.
Welcome01_307,어서 가자.
Welcome01_308,
Welcome01_310,그건 좋지 않은데.
Welcome01_311,
Welcome01_318,"안녕, 너 괜찮아?"
Welcome01_319,알았어. 물론이지.
Welcome01_322,이봐.
Welcome01_323,
Welcome01_324,
Welcome01_326,"어서 와, 그냥 가자."
Welcome01_327,그냥... 그래.
Welcome01_328,젠장.
Welcome01_330,글쎄...?
Welcome01_332,아야...
Welcome01_333,
Welcome01_334,그냥 기다려 봐.
Welcome01_335,어디든 뒤에 숨어 봐...
Welcome01_336,"레드, 거기서 나와..."
